S.No,Rounds,College Name,MTECH Course Name,Group,Category,Max GATE Score,Min GATE Score
1,Round 1,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Computer Science and Engineering with specialization in Data Analytics and Decision Sciences,Group 1,SC,335,290
2,Round 1,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Smart Manufacturing,Group 1,OBC,339,339
3,Round 1,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Smart Manufacturing,Group 1,OPEN,442,385
4,Round 1,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Smart Manufacturing,Group 2,OBC,313,313
5,Round 1,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Smart Manufacturing,Group 2,OPEN,456,374
6,Round 1,"Indian Institute of Information Technology, Pune",Electronics and Communication Engineering,Group 1,OBC,412,364
7,Round 1,"Indian Institute of Information Technology, Pune",Electronics and Communication Engineering,Group 1,EWS,374,374
8,Round 1,"Indian Institute of Information Technology, Pune",Electronics and Communication Engineering,Group 1,OPEN,469,454
9,Round 1,"Indian Institute of Information Technology, Pune",Electronics and Communication Engineering,Group 1,SC,283,255
10,Round 1,"Indian Institute of Information Technology, Pune",Computer Science & Engineering,Group 1,OBC,458,446
11,Round 1,"Indian Institute of Information Technology, Pune",Computer Science & Engineering,Group 1,EWS,535,535
12,Round 1,"Indian Institute of Information Technology, Pune",Computer Science & Engineering,Group 1,OPEN,602,569
13,Round 1,"Indian Institute of Information Technology, Pune",Computer Science & Engineering,Group 1,SC,388,344
14,Round 1,"National Institute of Electronics and Information Technology, Aurangabad",Electronics Design & Technology,Group 1,OBC,400,358
15,Round 1,"National Institute of Electronics and Information Technology, Aurangabad",Electronics Design & Technology,Group 1,EWS,305,305
16,Round 1,"National Institute of Electronics and Information Technology, Aurangabad",Electronics Design & Technology,Group 1,OPEN,504,407
17,Round 1,"National Institute of Electronics and Information Technology, Aurangabad",Electronics Design & Technology,Group 1,SC,267,237
18,Round 1,"National Institute of Foundry & Forge Technology, Hatia, Ranchi",Environmental Engineering,Group 1,OBC,396,371
19,Round 1,"National Institute of Foundry & Forge Technology, Hatia, Ranchi",Environmental Engineering,Group 1,EWS,361,343
20,Round 1,"National Institute of Foundry & Forge Technology, Hatia, Ranchi",Environmental Engineering,Group 1,OPEN,559,410
21,Round 1,"National Institute of Foundry & Forge Technology, Hatia, Ranchi",Environmental Engineering,Group 1,SC,299,267
22,Round 1,"National Institute of Foundry & Forge Technology, Hatia, Ranchi",Environmental Engineering,Group 1,ST,228,228
23,Round 1,"National Institute of Foundry & Forge Technology, Hatia, Ranchi",Foundry Forge Technology,Group 1,OBC,332,327
24,Round 1,"National Institute of Foundry & Forge Technology, Hatia, Ranchi",Foundry Forge Technology,Group 1,OPEN,586,358
25,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Nanoscience and Technology,Group 1,OPEN,507,458
26,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Nanoscience and Technology,Group 1,SC,247,247
27,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Sensor Technology,Group 1,OBC,445,389
28,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Sensor Technology,Group 1,EWS,396,335
29,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Sensor Technology,Group 1,OPEN,549,446
30,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Sensor Technology,Group 1,SC,296,286
31,Round 1,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Computer Science and Engineering with specialization in Data Analytics and Decision Sciences,Group 1,OBC,373,363
32,Round 1,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Computer Science and Engineering with specialization in Data Analytics and Decision Sciences,Group 1,EWS,361,361
33,Round 1,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Computer Science and Engineering with specialization in Data Analytics and Decision Sciences,Group 1,OPEN,504,477
34,Round 1,"School of Planning and Architecture, Bhopal",M.Arch. (Urban Design),Group 1,OPEN,735,624
35,Round 1,"School of Planning and Architecture, Bhopal",M.Arch. (Urban Design),Group 1,SC,408,408
36,Round 1,"School of Planning and Architecture, Bhopal",M.Arch. (Urban Design),Group 1,ST,135,135
37,Round 1,"School of Planning and Architecture, Bhopal",M.Arch. (Urban Design),Group 2,OBC,278,278
38,Round 1,"School of Planning and Architecture, Bhopal",M.Arch. (Urban Design),Group 2,OPEN,389,389
39,Round 1,"School of Planning and Architecture, Bhopal",M.Plan. (Urban and Regional Planning),Group 1,OBC,550,545
40,Round 1,"School of Planning and Architecture, Bhopal",M.Plan. (Urban and Regional Planning),Group 1,EWS,550,550
41,Round 1,"School of Planning and Architecture, Bhopal",M.Plan. (Urban and Regional Planning),Group 1,OPEN,717,655
42,Round 1,"School of Planning and Architecture, Bhopal",M.Plan. (Urban and Regional Planning),Group 1,SC,352,352
43,Round 1,"School of Planning and Architecture, Bhopal",M.Plan. (Urban and Regional Planning),Group 1,ST,309,309
44,Round 1,"School of Planning and Architecture, Bhopal",M.Plan. (Urban and Regional Planning),Group 2,OPEN,519,377
45,Round 1,"School of Planning and Architecture, Bhopal",M.Plan. (Urban and Regional Planning),Group 2,SC,265,265
46,Round 1,"School of Planning and Architecture, Bhopal",M.Plan. (Urban and Regional Planning),Group 3,OBC,500,500
47,Round 1,"School of Planning and Architecture, Bhopal",M.Plan. (Urban and Regional Planning),Group 3,EWS,321,321
48,Round 1,"School of Planning and Architecture, Bhopal",M.Plan. (Urban and Regional Planning),Group 3,OPEN,636,519
49,Round 1,"School of Planning and Architecture, Bhopal",M.Plan. (Urban and Regional Planning),Group 3,SC,278,278
50,Round 1,"School of Planning and Architecture, Bhopal",M.Arch. (Conservation),Group 1,OBC,426,377
51,Round 1,"School of Planning and Architecture, Bhopal",M.Arch. (Conservation),Group 1,EWS,302,302
52,Round 1,"School of Planning and Architecture, Bhopal",M.Arch. (Conservation),Group 1,OPEN,543,511
53,Round 1,"School of Planning and Architecture, Bhopal",M.Arch. (Conservation),Group 1,SC,309,246
54,Round 1,"School of Planning and Architecture, Bhopal",M.Arch. (Conservation),Group 3,EWS,284,284
55,Round 1,"School of Planning and Architecture, Bhopal",M.Arch. (Conservation),Group 3,OPEN,587,587
56,Round 1,School of Planning & Architecture: Vijayawada,Architectural Conservation,Group 1,OBC,383,358
57,Round 1,School of Planning & Architecture: Vijayawada,Architectural Conservation,Group 1,OPEN,506,482
58,Round 1,School of Planning & Architecture: Vijayawada,Architectural Conservation,Group 1,SC,203,185
59,Round 1,School of Planning & Architecture: Vijayawada,Building Engineering and Management,Group 1,OBC,506,445
60,Round 1,School of Planning & Architecture: Vijayawada,Building Engineering and Management,Group 1,EWS,426,426
61,Round 1,School of Planning & Architecture: Vijayawada,Building Engineering and Management,Group 1,OPEN,704,649
62,Round 1,School of Planning & Architecture: Vijayawada,Building Engineering and Management,Group 1,SC,327,320
63,Round 1,School of Planning & Architecture: Vijayawada,Building Engineering and Management,Group 1,ST,148,148
64,Round 1,School of Planning & Architecture: Vijayawada,Environmental Planning & Management,Group 1,OBC,438,408
65,Round 1,School of Planning & Architecture: Vijayawada,Environmental Planning & Management,Group 1,EWS,346,346
66,Round 1,School of Planning & Architecture: Vijayawada,Environmental Planning & Management,Group 1,OPEN,593,550
67,Round 1,School of Planning & Architecture: Vijayawada,Environmental Planning & Management,Group 1,SC,370,265
68,Round 1,School of Planning & Architecture: Vijayawada,Landscape Architecture,Group 1,OBC,494,401
69,Round 1,School of Planning & Architecture: Vijayawada,Landscape Architecture,Group 1,EWS,290,290
70,Round 1,School of Planning & Architecture: Vijayawada,Landscape Architecture,Group 1,OPEN,643,543
71,Round 1,School of Planning & Architecture: Vijayawada,Landscape Architecture,Group 1,SC,309,272
72,Round 1,School of Planning & Architecture: Vijayawada,Sustainable Architecture,Group 1,OBC,457,432
73,Round 1,School of Planning & Architecture: Vijayawada,Sustainable Architecture,Group 1,EWS,408,408
74,Round 1,School of Planning & Architecture: Vijayawada,Sustainable Architecture,Group 1,OPEN,729,593
75,Round 1,School of Planning & Architecture: Vijayawada,Sustainable Architecture,Group 1,OPEN-PwD,197,197
76,Round 1,School of Planning & Architecture: Vijayawada,Sustainable Architecture,Group 1,SC,290,272
77,Round 1,School of Planning & Architecture: Vijayawada,Transport Planning,Group 1,OBC,438,407
78,Round 1,School of Planning & Architecture: Vijayawada,Transport Planning,Group 1,EWS,436,436
79,Round 1,School of Planning & Architecture: Vijayawada,Transport Planning,Group 1,OPEN,556,519
80,Round 1,School of Planning & Architecture: Vijayawada,Transport Planning,Group 1,SC,290,274
81,Round 1,School of Planning & Architecture: Vijayawada,Transport Planning,Group 1,ST,234,234
82,Round 1,School of Planning & Architecture: Vijayawada,Urban & Regional Planning,Group 1,OBC,525,476
83,Round 1,School of Planning & Architecture: Vijayawada,Urban & Regional Planning,Group 1,EWS,400,400
84,Round 1,School of Planning & Architecture: Vijayawada,Urban & Regional Planning,Group 1,OPEN,661,618
